Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.fromByteString.with padding.little endian.128 bytes (127 padding),196328,792,2125,0,103809024
All.fromByteString.with padding.little endian.256 bytes (255 padding),390146,3672,4172,0,103809024
All.fromByteString.with padding.little endian.512 bytes (511 padding),737743,10920,8235,0,103809024
All.fromByteString.with padding.little endian.1024 bytes (1023 padding),1476782,22024,16420,0,103809024
All.fromByteString.with padding.little endian.2048 bytes (2047 padding),2845386,10296,32790,1,103809024
All.fromByteString.with padding.little endian.4096 bytes (4095 padding),5665127,81630,65479,2,103809024
All.fromByteString.with padding.big endian.1 bytes (0 padding),14796,454,79,0,103809024
All.fromByteString.with padding.big endian.2 bytes (1 padding),16837,258,95,0,103809024
All.fromByteString.with padding.big endian.3 bytes (2 padding),17767,350,111,0,103809024
All.fromByteString.with padding.big endian.4 bytes (3 padding),17932,558,127,0,103809024
All.fromByteString.with padding.big endian.5 bytes (4 padding),21879,312,143,0,103809024
All.fromByteString.with padding.big endian.6 bytes (5 padding),20809,408,159,0,103809024
All.fromByteString.with padding.big endian.7 bytes (6 padding),22267,360,175,0,103809024
All.fromByteString.with padding.big endian.8 bytes (7 padding),24615,362,191,0,103809024
All.fromByteString.with padding.big endian.16 bytes (15 padding),36100,444,319,0,103809024
All.fromByteString.with padding.big endian.32 bytes (31 padding),57073,98,575,0,103809024
All.fromByteString.with padding.big endian.64 bytes (63 padding),103980,1544,1087,0,103809024
All.fromByteString.with padding.big endian.128 bytes (127 padding),192102,944,2110,0,103809024
All.fromByteString.with padding.big endian.256 bytes (255 padding),365835,6290,4156,0,103809024
All.fromByteString.with padding.big endian.512 bytes (511 padding),713082,9658,8248,0,103809024
All.fromByteString.with padding.big endian.1024 bytes (1023 padding),1389321,11414,16433,0,103809024
All.fromByteString.with padding.big endian.2048 bytes (2047 padding),2750924,45790,32739,1,103809024
All.fromByteString.with padding.big endian.4096 bytes (4095 padding),5554229,75664,65479,2,103809024
